fdc_id	g	ml	desc	comment
167818	117.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 151 g
167819	 89.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 151 g
167820	 87.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 151 g
167821	 89.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 151 g
167822	263.00	  0.00	chop	
167823	206.00	  0.00	chop	
167824	219.00	  0.00	chop	
167825	830.00	  0.00	roast	
167826	187.00	  0.00	chop	
167827	157.00	  0.00	chop without refuse	Yield from 1 cooked chop, with refuse, weighing 209g
167828	900.00	  0.00	roast	
167829	178.00	  0.00	chop without refuse	Yield from 1 raw chop, with refuse, weighing 259g
167830	187.00	  0.00	chop	
167831	112.00	  0.00	chop without refuse	Yield from 1 cooked chop, with refuse, weighing 172g
167832	783.00	  0.00	roast	
167833	 86.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 151 g
167834	180.00	  0.00	chop	
167835	195.00	  0.00	chop	
167836	1046.00	  0.00	roast without refuse	Yield from 1 cooked roast, with refuse, weighing 1515g
167837	1217.00	  0.00	roast without refuse	Yield from 1 raw roast, with refuse, weighing 1818g
167838	180.00	  0.00	chop	
167839	185.00	  0.00	chop	
167840	135.00	  0.00	chop	
167841	145.00	  0.00	chop	
167842	848.00	  0.00	roast	
167844	135.00	236.60	diced	
167846	135.00	236.60	diced	
167847	2252.00	  0.00	roast	
167848	191.00	  0.00	piece, cooked, excluding refuse	yield from 1 lb raw meat with refuse
167849	288.00	  0.00	steak without refuse	Yield from 1 raw steak, with refuse, weighing 380g
167850	185.00	  0.00	steak without refuse	Yield from 1 cooked steak, with refuse, weighing 249g
167851	169.00	  0.00	steak, excluding refuse	yield from 1 raw steak, with refuse, weighing 300 g
167852	238.00	  0.00	piece, cooked, excluding refuse	yield from 1 lb raw meat with refuse
167854	177.00	  0.00	piece, cooked, excluding refuse	yield from 1 lb raw meat with refuse
167855	231.00	  0.00	piece, cooked, excluding refuse	yield from 1 lb raw meat with refuse
167857	113.00	  0.00	ear	
167858	111.00	  0.00	ear	yield after cooking
167858	422.00	  0.00	unit, cooked	yield from 1 lb raw meat
167860	140.00	236.60		
167868	215.00	  0.00	chop	
167869	 57.00	  0.00	2x slices	6 per 6-oz pkg.
167869	170.00	  0.00	package	6 oz
167871	140.00	236.60		
167872	140.00	236.60		
167873	 65.00	  0.00	patty	
167874	 57.00	  0.00	slice	
167875	140.00	236.60		
167876	140.00	236.60		
167879	140.00	236.60		
167880	140.00	236.60		
167881	275.00	  0.00	piece, cooked, excluding refuse	yield from 1 lb raw meat with refuse
167882	172.00	  0.00	chop	
167883	169.00	  0.00	chop	
167884	215.00	  0.00	chop	
167885	140.00	236.60		
167886	140.00	236.60		
167887	142.00	  0.00	chop	
167889	101.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 113 g
167890	 81.00	  0.00	chop, excluding refuse	yield from 1 raw chop, with refuse, weighing 113 g
