#  g  ml cal prot fat carb fiber
# Oils
   34    70   120  24.00   1.00   3.00   1.00 casein powder
   33    70   110  25.00   1.00   1.00   1.00 isopure
# Nuts & Seeds
  120   240   785  18.00  78.00  16.00   8.00 chopped walnuts
  109   240   753  10.00  78.00  15.00  11.00 chopped pecans
  100     0   553  18.00  44.00  30.00   3.00 cashews
  100     0   654  15.00  65.00  14.00   7.00 walnuts
  100     0   691   9.00  72.00  14.00  10.00 pecans
  100     0   578  21.00  51.00  20.00  12.00 almonds
  146   240   828  38.00  72.00  24.00  12.00 peanuts
  135   240   848  20.00  82.00  23.00  13.00 hazelnuts
  115   240   722  17.00  70.00  19.00  11.00 chopped hazelnuts
  134   240   962  11.00 102.00  19.00  12.00 macadamia nuts
  168   240   987  31.00  71.00  49.00  46.00 flaxseed
   13    30    70   3.00   5.00   4.00   3.00 ground flaxseed
   13    30    70   3.00   5.00   4.00   3.00 flaxseed meal
  100   125   490  16.00  31.00  44.00  38.00 chia seeds
  144   240   825  26.00  72.00  34.00  17.00 sesame seeds
  144   240   821  33.00  71.00  27.00  15.00 sunflower seeds
  138   240   747  34.00  63.00  25.00   5.00 pumpkin seeds
# Sauces & Spreads
  339   240  1031   1.00   0.00 279.00   1.00 honey
  100    93   588  25.00  50.00  20.00   6.00 peanut butter
  255   240   135  16.00   0.00  19.00   2.00 soy sauce
   15    15    40   0.00   4.00   2.00   0.00 miracle whip
  235   240   916   2.00  78.00  56.00   0.00 mayo
  235   240   916   2.00  78.00  56.00   0.00 mayonnaise
  240   240   233   4.00   1.00  60.00   1.00 ketchup
  246   240    10   1.00   0.00   2.00   0.00 chicken broth
  240   240    12   1.00   0.00   2.00   0.00 chicken stock
   -6     0    10   1.00   0.00   2.00   0.00 chicken boullion cube
    6    15    10   1.00   0.00   2.00   0.00 chicken boullion
  246   240    15   1.00   0.00   2.00   0.00 beef broth
  233   240     7   1.00   0.00   1.00   0.00 beef stock
   -6     0    15   1.00   0.00   2.00   0.00 beef boullion cube
    6    15    15   1.00   0.00   2.00   0.00 beef boullion
  239   240    43   0.00   0.00   2.00   0.00 vinegar
  238   240    50   0.00   0.00   2.00   0.00 cider vinegar
