fdc_id	kcal	prot	fat	carb	fiber	alc	atwater	desc
167625	0.00	0.00	0.00	0.00	0.00	0.00		Oil, whale, bowhead (Alaska Native)
167626	0.00	0.00	0.00	0.00	0.00	0.00		Fish, whitefish, broad, liver (Alaska Native)
167627	0.00	0.00	0.00	0.00	0.00	0.00		Mush, blue corn with ash (Navajo)
167628	0.00	0.00	0.00	0.00	0.00	0.00		Cornmeal, blue (Navajo)
167629	0.00	0.00	0.00	0.00	0.00	0.00		Melon, banana (Navajo)
167630	0.00	0.00	0.00	0.00	0.00	0.00		Chilchen (Red Berry Beverage) (Navajo)
167631	0.00	0.00	0.00	0.00	0.00	0.00		Corn, dried (Navajo)
167632	0.00	0.00	0.00	0.00	0.00	0.00		Squash, Indian, cooked, boiled (Navajo)
167633	0.00	0.00	0.00	0.00	0.00	0.00		Bread, kneel down (Navajo)
167634	0.00	0.00	0.00	0.00	0.00	0.00		Mutton, cooked, roasted (Navajo)
167635	0.00	0.00	0.00	0.00	0.00	0.00		Frybread, made with lard (Navajo)
167636	0.00	0.00	0.00	0.00	0.00	0.00		Tamales (Navajo)
167637	0.00	0.00	0.00	0.00	0.00	0.00		Stew, steamed corn (Navajo)
167638	0.00	0.00	0.00	0.00	0.00	0.00		Fish, halibut, raw, with skin (Alaska Native)
167639	0.00	0.00	0.00	0.00	0.00	0.00		Fish, salmon, coho (silver), raw (Alaska Native)
167640	0.00	0.00	0.00	0.00	0.00	0.00		Blueberries, wild, raw (Alaska Native)
167641	0.00	0.00	0.00	0.00	0.00	0.00		Oil, spotted seal (Alaska Native)
167642	0.00	0.00	0.00	0.00	0.00	0.00		Fish, salmon, red, canned, bones removed (Alaska Native)
167643	0.00	0.00	0.00	0.00	0.00	0.00		Fish, whitefish, eggs (Alaska Native)
167644	0.00	0.00	0.00	0.00	0.00	0.00		Caribou, rump meat, half dried (Alaska Native)
167645	0.00	0.00	0.00	0.00	0.00	0.00		Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)
167646	0.00	0.00	0.00	0.00	0.00	0.00		Fish, salmon, red, (sockeye), kippered (Alaska Native)
167647	0.00	0.00	0.00	0.00	0.00	0.00		Fish, salmon, king, with skin, kippered, (Alaska Native)
167648	0.00	0.00	0.00	0.00	0.00	0.00		Fish, sheefish, raw (Alaska Native)
167649	0.00	0.00	0.00	0.00	0.00	0.00		Buffalo, free range, top round steak, raw (Shoshone Bannock)
167650	0.00	0.00	0.00	0.00	0.00	0.00		Seal, bearded (Oogruk), meat, partially dried (Alaska Native)
167651	0.00	0.00	0.00	0.00	0.00	0.00		Buffalo, free range, top round steak, cooked (Shoshone Bannock)
167652	0.00	0.00	0.00	0.00	0.00	0.00		Elk, free range, roast, eye of round, raw (Shoshone Bannock)
167653	0.00	0.00	0.00	0.00	0.00	0.00		Corn, dried, yellow (Northern Plains Indians)
167654	0.00	0.00	0.00	0.00	0.00	0.00		Smelt, dried (Alaska Native)
167655	0.00	0.00	0.00	0.00	0.00	0.00		Frybread, made with lard (Apache)
167656	0.00	0.00	0.00	0.00	0.00	0.00		Corned beef and potatoes in tortilla (Apache)
167657	0.00	0.00	0.00	0.00	0.00	0.00		ON THE BORDER, soft taco with ground beef, cheese and lettuce
167658	0.00	0.00	0.00	0.00	0.00	0.00		Restaurant, Mexican, soft taco with ground beef, cheese and lettuce
